korean,correct,correctkorean,question,solution,wrong
"강아지를 키우고 있는지 물어볼 때","Do you have any pets?","애완동물을 키우고 계신가요?","Do you have any (____)?","pets","books"
"취미가 있는지 물어볼 때","Do you have any hobbies?","취미가 있으신가요?","Do you have any (____)?","hobbies","jobs"
"자매가 있는지 물어볼 때","Do you have any sisters?","자매가 있으신가요?","Do you have any (____)?","sisters","friends"
"형제가 있는지 물어볼 때","Do you have any brothers?","형제가 있으신가요?","Do you have any (____)?","brothers","uncles"
"프리랜서 일을 하는지 물어볼 때","Do you have any freelance work?","프리랜서 일을 하고 계신가요?","Do you have any (____) work?","freelance","formal"
"질문이 있는지 물어볼 때","Do you have any questions?","질문이 있으신가요?","Do you have any (____)?","questions","answers"
"계획이 있는지 물어볼 때","Do you have any plans for the weekend?","주말에 계획이 있으신가요?","Do you have any (____) for the weekend?","plans","regrets"
"할인이 있는지 물어볼 때","Do you have any discounts available?","할인이 가능한가요?","Do you have any (____) available?","discounts","prices"
"추가 정보가 있는지 물어볼 때","Do you have any additional information?","추가 정보가 있으신가요?","Do you have any (____) information?","additional","incorrect"
"기타 옵션이 있는지 물어볼 때","Do you have any other options?","다른 옵션이 있으신가요?","Do you have any (____) options?","other","single"
"연락처가 있는지 물어볼 때","Do you have any contact details?","연락처가 있으신가요?","Do you have any (____) details?","contact","business"
"무료 샘플이 있는지 물어볼 때","Do you have any free samples?","무료 샘플이 있나요?","Do you have any (____) samples?","free","paid"
"채소가 있는지 물어볼 때","Do you have any vegetables?","야채가 있나요?","Do you have any (____)?","vegetables","fruits"
"소금이 있는지 물어볼 때","Do you have any salt?","소금이 있나요?","Do you have any (____)?","salt","sugar"
"알레르기가 있는지 물어볼 때","Do you have any allergies?","알레르기가 있으신가요?","Do you have any (____)?","allergies","medicines"
"신분증이 있는지 물어볼 때","Do you have any ID?","신분증이 있으신가요?","Do you have any (____)?","ID","questions"
"수학 문제를 풀 수 있는지 물어볼 때","Do you have any solutions to this math problem?","이 수학 문제의 해답이 있나요?","Do you have any (____) to this math problem?","solutions","problems"
"서류가 있는지 물어볼 때","Do you have any documents ready?","서류가 준비되어 있나요?","Do you have any (____) ready?","documents","opinions"
"방향을 알려줄 수 있는지 물어볼 때","Do you have any directions to the venue?","장소까지의 방향이 있나요?","Do you have any (____) to the venue?","directions","distractions"
"사람이 필요한지 물어볼 때","Do you have any staff available?","직원이 있나요?","Do you have any (____) available?","staff","goods"
"일이 많은지 물어볼 때","Do you have any work today?","오늘 할 일이 있으신가요?","Do you have any (____) today?","work","rest"
"시간이 있는지 물어볼 때","Do you have any time this afternoon?","오늘 오후에 시간이 있으신가요?","Do you have any (____) this afternoon?","time","hurry"
"유명한 장소에 대한 추천이 있는지 물어볼 때","Do you have any recommendations for famous places?","유명한 장소에 대한 추천이 있으신가요?","Do you have any (____) for famous places?","recommendations","complaints"
"의견이 있는지 물어볼 때","Do you have any opinions on this topic?","이 주제에 대한 의견이 있으신가요?","Do you have any (____) on this topic?","opinions","silence"
"외부 활동이 있는지 물어볼 때","Do you have any outdoor activities planned?","야외 활동이 계획되어 있나요?","Do you have any (____) activities planned?","outdoor","indoor"
"다른 약속이 있는지 물어볼 때","Do you have any other appointments today?","오늘 다른 약속이 있나요?","Do you have any (____) appointments today?","other","previous"
"이유가 있는지 물어볼 때","Do you have any reason for being late?","늦은 이유가 있으신가요?","Do you have any (____) for being late?","reason","excuses"
"특별한 요청이 있는지 물어볼 때","Do you have any special requests?","특별한 요청이 있으신가요?","Do you have any (____) requests?","special","general"
"여유 시간이 있는지 물어볼 때","Do you have any free time this weekend?","이번 주말에 여유 시간이 있으신가요?","Do you have any (____) time this weekend?","free","busy"
"옷을 바꿀 여유가 있는지 물어볼 때","Do you have any spare clothes?","여벌 옷이 있으신가요?","Do you have any (____) clothes?","spare","old"
