korean,correct,correctkorean,question,solution,wrong
"비가 오는지 물어볼 때","Is it raining outside?","밖에 비가 오고 있나요?","Is it (____) outside?","raining","sunny"
"문제가 있는지 물어볼 때","Is it okay to proceed?","진행해도 괜찮나요?","Is it (____) to proceed?","okay","wrong"
"너무 늦었는지 물어볼 때","Is it too late to change plans?","계획을 변경하기에 너무 늦었나요?","Is it too (____) to change plans?","late","early"
"차가운지 물어볼 때","Is it cold today?","오늘 춥나요?","Is it (____) today?","cold","warm"
"바쁜지 물어볼 때","Is it busy at the office?","사무실이 바쁜가요?","Is it (____) at the office?","busy","quiet"
"식당이 가까운지 물어볼 때","Is it near the restaurant?","식당이 가까운가요?","Is it (____) the restaurant?","near","far"
"비싼지 물어볼 때","Is it expensive to live here?","여기 사는 것이 비싼가요?","Is it (____) to live here?","expensive","cheap"
"필요한지 물어볼 때","Is it necessary to attend the meeting?","회의에 참석할 필요가 있나요?","Is it (____) to attend the meeting?","necessary","optional"
"쉬운지 물어볼 때","Is it easy to learn this language?","이 언어를 배우는 것이 쉬운가요?","Is it (____) to learn this language?","easy","hard"
"지금 해야 하는지 물어볼 때","Is it urgent to do it now?","지금 해야 하는 일이 급한가요?","Is it (____) to do it now?","urgent","delayed"
"건강에 좋은지 물어볼 때","Is it healthy to eat vegetables?","야채를 먹는 것이 건강에 좋은가요?","Is it (____) to eat vegetables?","healthy","unhealthy"
"어려운지 물어볼 때","Is it difficult to solve this problem?","이 문제를 푸는 것이 어려운가요?","Is it (____) to solve this problem?","difficult","easy"
"도움이 되는지 물어볼 때","Is it helpful to study every day?","매일 공부하는 것이 도움이 되나요?","Is it (____) to study every day?","helpful","useless"
"어두운지 물어볼 때","Is it dark outside?","밖이 어두운가요?","Is it (____) outside?","dark","bright"
"금요일인지 물어볼 때","Is it Friday today?","오늘 금요일인가요?","Is it (____) today?","Friday","Monday"
"지루한지 물어볼 때","Is it boring to watch this show?","이 쇼를 보는 것이 지루한가요?","Is it (____) to watch this show?","boring","exciting"
"안전한지 물어볼 때","Is it safe to travel alone?","혼자 여행하는 것이 안전한가요?","Is it (____) to travel alone?","safe","dangerous"
"긴급한지 물어볼 때","Is it urgent to fix this issue?","이 문제를 해결하는 것이 긴급한가요?","Is it (____) to fix this issue?","urgent","minor"
"이해가 되는지 물어볼 때","Is it clear to everyone?","모두에게 이해가 되나요?","Is it (____) to everyone?","clear","confusing"
"적당한지 물어볼 때","Is it appropriate to wear this to the party?","파티에 이 옷을 입는 것이 적당한가요?","Is it (____) to wear this to the party?","appropriate","inappropriate"
"지금 가능한지 물어볼 때","Is it possible to meet now?","지금 만나는 것이 가능한가요?","Is it (____) to meet now?","possible","impossible"
"확실한지 물어볼 때","Is it certain that he will come?","그가 올 것이 확실한가요?","Is it (____) that he will come?","certain","uncertain"
"필요한지 물어볼 때","Is it necessary to have a ticket?","티켓이 꼭 필요한가요?","Is it (____) to have a ticket?","necessary","optional"
"즐거운지 물어볼 때","Is it fun to play this game?","이 게임을 하는 것이 즐거운가요?","Is it (____) to play this game?","fun","boring"
"시간이 걸리는지 물어볼 때","Is it time-consuming to finish this task?","이 작업을 끝내는 데 시간이 많이 걸리나요?","Is it (____) to finish this task?","time-consuming","quick"
"오늘 날씨가 좋은지 물어볼 때","Is it a nice day today?","오늘 날씨가 좋은가요?","Is it a (____) day today?","nice","bad"
"친구와 함께 있는 것이 좋은지 물어볼 때","Is it good to spend time with friends?","친구와 시간을 보내는 것이 좋은가요?","Is it (____) to spend time with friends?","good","bad"
"쉽게 접근할 수 있는지 물어볼 때","Is it accessible to everyone?","모두가 접근할 수 있는가요?","Is it (____) to everyone?","accessible","inaccessible"
"운동 후에 쉬는 것이 좋은지 물어볼 때","Is it beneficial to rest after exercise?","운동 후에 쉬는 것이 도움이 되나요?","Is it (____) to rest after exercise?","beneficial","harmful"
"오늘 기분이 좋은지 물어볼 때","Is it a good mood today?","오늘 기분이 좋은가요?","Is it a (____) mood today?","good","bad"
"저녁 식사를 하기 좋은 시간인지 물어볼 때","Is it a good time for dinner?","저녁 식사하기 좋은 시간인가요?","Is it a (____) time for dinner?","good","bad"
"물건을 사기 좋은 시간인지 물어볼 때","Is it a good time to buy something?","물건을 사기 좋은 시간인가요?","Is it a (____) time to buy something?","good","bad"
"혼자 사는 것이 안전한지 물어볼 때","Is it safe to live alone?","혼자 사는 것이 안전한가요?","Is it (____) to live alone?","safe","dangerous"
"인터넷이 연결되어 있는지 물어볼 때","Is it connected to the internet?","인터넷에 연결되어 있나요?","Is it (____) to the internet?","connected","disconnected"
"운동 후에 물을 마시는 것이 좋은지 물어볼 때","Is it good to drink water after exercise?","운동 후에 물을 마시는 것이 좋은가요?","Is it (____) to drink water after exercise?","good","bad"
"지금 떠나야 하는지 물어볼 때","Is it time to leave now?","지금 떠날 시간인가요?","Is it (____) to leave now?","time","delay"
"책을 읽기 좋은 시간인지 물어볼 때","Is it a good time to read a book?","책 읽기 좋은 시간인가요?","Is it a (____) time to read a book?","good","bad"
"회의에 참석하기 좋은 시간인지 물어볼 때","Is it a convenient time for the meeting?","회의에 참석하기 편리한 시간인가요?","Is it a (____) time for the meeting?","convenient","inconvenient"
"식물을 키우기에 적당한 날씨인지 물어볼 때","Is it suitable weather for growing plants?","식물을 키우기에 적당한 날씨인가요?","Is it (____) weather for growing plants?","suitable","unsuitable"
